"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789843667487731834","Mon May 13 02:22:38 +0000 2024","0","Salah satu warga Kendari bernama Yudha (25) berkesempatan melakukan swafoto dengan Presiden Republik Indonesia (RI) saat berkunjung ke salah satu mall di Kendari Minggu (12/5/2024) malam. https://t.co/R3PmwmhoGb","1789843667487731834","","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/Kendarinformasi/status/1789843667487731834","987881287896649728","Kendarinformasi"
"1789838500004569117","Mon May 13 02:02:10 +0000 2024","0","Kegiatan wawancara ini direncanakan akan berakhir pada tanggal 13 Mei 2024 yang kemudian menetapkan 55 Anggota PPK yang tersebar di 11 Kecamatan. #KPUMelayani #PilkadaSerentak2024 https://t.co/bKYTqJ1JsJ","1789838516534272062","https://pbs.twimg.com/media/GNbInz-a0AAU3sR.jpg","KendariKpu","in","Jl.Chairil Anwar No.10 ","0","0","0","https://twitter.com/KendariKpu/status/1789838516534272062","1251752036581863425","KendariKpu"
"1789838500004569117","Mon May 13 02:02:09 +0000 2024","0","Pelaksanaan Selesksi wawancara ini menghadirkan peserta seleksi sebanya 60 peserta yang tersebar di 4 Kecamatan yang mana dihari sebelumnya telah diikuti 60 peserta. https://t.co/GWWUkrWp9f","1789838509961863173","https://pbs.twimg.com/media/GNbIkh6bcAAC5tg.jpg","KendariKpu","in","Jl.Chairil Anwar No.10 ","0","1","0","https://twitter.com/KendariKpu/status/1789838509961863173","1251752036581863425","KendariKpu"
"1789838500004569117","Mon May 13 02:02:07 +0000 2024","0","untuk Pemilihan Gubernur dan Wakil Gubernur Walikota dan Wakil Walikota Kendari Tahun 2024 Hari Kedua di Hotel Zahra Kendari (12/05/2024).","1789838505171927051","","KendariKpu","in","Jl.Chairil Anwar No.10 ","0","1","0","https://twitter.com/KendariKpu/status/1789838505171927051","1251752036581863425","KendariKpu"
"1789838500004569117","Mon May 13 02:02:06 +0000 2024","0","#TemanPemilih Ketua dan Anggota KPU Kota Kendari Jumwal Shaleh La Ode Hermanto Arwah Hans A. Rompas dan Ahmad Segati Firihu melaksanakan kegiatan Wawancara Calon Anggota Panitia Pemilihan Kecamatan (PPK) https://t.co/lHA6Y86rPt","1789838500004569117","https://pbs.twimg.com/media/GNbId_NbAAA13B9.jpg","","in","Jl.Chairil Anwar No.10 ","0","1","0","https://twitter.com/KendariKpu/status/1789838500004569117","1251752036581863425","KendariKpu"
"1789826919908700266","Mon May 13 01:16:05 +0000 2024","0","MENERIMA PIJAT ++ DAERAH KENDARI INCALL / OUTCALL COD / BAYAR DI TEMPAT CEK WA DI BIO #pijatkendari #pijatpriakendari #gaykendari #BOkendari #gigolokendari https://t.co/EdX0htIove","1789826919908700266","https://pbs.twimg.com/media/GNa-GBQaAAAZKYi.jpg","","in","","0","0","0","https://twitter.com/Sisilia98784218/status/1789826919908700266","1762444521902927872","Sisilia98784218"
"1789826674856485041","Mon May 13 01:15:07 +0000 2024","0","Presiden Jokowi menyambangi Mal di Kendari https://t.co/TFesDioOi3","1789826674856485041","","","in","iNews Tower","0","0","0","https://twitter.com/officialinews_/status/1789826674856485041","132078023","officialinews_"
"1789826538218590437","Mon May 13 01:14:34 +0000 2024","0","Di Kendari Minggu Malam Presiden Jokowi Sapa Warga dan Santap Nasi Goreng https://t.co/m3bgBBdEUE","1789826538218590437","","","in","Sulawesi Tenggara, Indonesia","0","0","0","https://twitter.com/penasultra_id/status/1789826538218590437","1388567274","penasultra_id"
"1789494949207302194","Mon May 13 01:07:48 +0000 2024","0","@tang__kira Ini pake modus mampir ke hotel aku boleh? kayak si botak dari Kendari. Meresahkan","1789824834442035606","","tang__kira","in","","0","0","0","https://twitter.com/Yhuta4/status/1789824834442035606","1133052837167026176","Yhuta4"
"1789819902154735638","Mon May 13 00:48:12 +0000 2024","11","Minggu Malam Presiden Jokowi Sapa Warga Kendari dan Santap Nasi Goreng. Dalam kunjungan tidak terjadwalnya Presiden Joko Widodo menyapa warga Kota Kendari Provinsi Sulawesi Tenggara di pusat perbelanjaan The Park pada Minggu malam 12 Mei 2024. Kehadiran Presiden Jokowi yang https://t.co/c5OB2D3dre","1789819902154735638","https://pbs.twimg.com/media/GNa3s_maQAArI43.jpg","","in","Jakarta Pusat, DKI Jakarta","0","0","1","https://twitter.com/kangdede78/status/1789819902154735638","235931838","kangdede78"
